Ward Name,La Name,Ward Code,La Code
Keswick,Allerdale,E07000026,E05011731
Boltons,Allerdale,E05011723,E07000026
Crummock & Derwent Valley,Allerdale,E05011726,E07000026
Christchurch,Allerdale,E05011725,E07000026
Dalton,Allerdale,E05011727,E07000026
Broughton St Bridgets,Allerdale,E05011724,E07000026
All Saints,Allerdale,E05011720,E07000026
Maryport South,Allerdale,E05011734,E07000026
Seaton & Northside,Allerdale,E05011738,E07000026
Stainburn & Clifton,Allerdale,E05011740,E07000026
St Michael's,Allerdale,E05011737,E07000026
St John's,Allerdale,E05011736,E07000026
Moorclose & Moss Bay,Allerdale,E05011735,E07000026
Harrington & Salterbeck,Allerdale,E05011730,E07000026
Maryport North,Allerdale,E05011733,E07000026
Silloth & Solway Coast,Allerdale,E05011739,E07000026
Ellen & Gilcrux,Allerdale,E05011728,E07000026
Flimby,Allerdale,E05011729,E07000026
Allhallow & Waverton,Allerdale,E05011721,E07000026
Aspatria,Allerdale,E05011722,E07000026
Marsh & Wampool,Allerdale,E05011732,E07000026
Wigton & Woodside,Allerdale,E05011742,E07000026
Warnell,Allerdale,E05011741,E07000026
