Ward Name,La Name,Ward Code,La Code
Cultra,Ards and North Down,N09000011,N08001118
Scrabo,Ards and North Down,N08001136,N09000011
Comber West,Ards and North Down,N08001115,N09000011
Holywood,Ards and North Down,N08001125,N09000011
Loughview,Ards and North Down,N08001130,N09000011
Rathgael,Ards and North Down,N08001134,N09000011
Kilcooley,Ards and North Down,N08001126,N09000011
Rathmore,Ards and North Down,N08001135,N09000011
Helen's Bay,Ards and North Down,N08001124,N09000011
Clandeboye,Ards and North Down,N08001112,N09000011
Groomsport,Ards and North Down,N08001122,N09000011
Ballycrochan,Ards and North Down,N08001101,N09000011
Silverbirch,Ards and North Down,N08001137,N09000011
Ballymagee,Ards and North Down,N08001105,N09000011
Ballygrainey,Ards and North Down,N08001103,N09000011
Bloomfield,Ards and North Down,N08001107,N09000011
Ballyholme,Ards and North Down,N08001104,N09000011
Warren,Ards and North Down,N08001139,N09000011
Loughries,Ards and North Down,N08001129,N09000011
Harbour,Ards and North Down,N08001123,N09000011
Castle,Ards and North Down,N08001111,N09000011
Bryansburn,Ards and North Down,N08001109,N09000011
Silverstream,Ards and North Down,N08001138,N09000011
Broadway,Ards and North Down,N08001108,N09000011
Donaghadee,Ards and North Down,N08001119,N09000011
Portavogie,Ards and North Down,N08001133,N09000011
Kircubbin,Ards and North Down,N08001128,N09000011
Ballywalter,Ards and North Down,N08001106,N09000011
Portaferry,Ards and North Down,N08001132,N09000011
Carrowdore,Ards and North Down,N08001110,N09000011
Conway Square,Ards and North Down,N08001116,N09000011
Glen,Ards and North Down,N08001120,N09000011
Cronstown,Ards and North Down,N08001117,N09000011
Movilla,Ards and North Down,N08001131,N09000011
Gregstown,Ards and North Down,N08001121,N09000011
Comber North,Ards and North Down,N08001113,N09000011
West Winds,Ards and North Down,N08001140,N09000011
Comber South,Ards and North Down,N08001114,N09000011
Ballygowan,Ards and North Down,N08001102,N09000011
Killinchy,Ards and North Down,N08001127,N09000011
