Ward Name,La Name,Ward Code,La Code
Thames,Barking and Dagenham,E09000002,E05000039
Gascoigne,Barking and Dagenham,E05000032,E09000002
Eastbury,Barking and Dagenham,E05000031,E09000002
Abbey,Barking and Dagenham,E05000026,E09000002
Longbridge,Barking and Dagenham,E05000035,E09000002
Becontree,Barking and Dagenham,E05000028,E09000002
Whalebone,Barking and Dagenham,E05000042,E09000002
Eastbrook,Barking and Dagenham,E05000030,E09000002
Heath,Barking and Dagenham,E05000034,E09000002
Alibon,Barking and Dagenham,E05000027,E09000002
Village,Barking and Dagenham,E05000041,E09000002
River,Barking and Dagenham,E05000038,E09000002
Chadwell Heath,Barking and Dagenham,E05000029,E09000002
Valence,Barking and Dagenham,E05000040,E09000002
Mayesbrook,Barking and Dagenham,E05000036,E09000002
Parsloes,Barking and Dagenham,E05000037,E09000002
Goresbrook,Barking and Dagenham,E05000033,E09000002
