Ward Name,La Name,Ward Code,La Code
Dearne South,Barnsley,E08000016,E05000982
Penistone West,Barnsley,E05000990,E08000016
Penistone East,Barnsley,E05000989,E08000016
Dearne North,Barnsley,E05000981,E08000016
North East,Barnsley,E05000987,E08000016
Central,Barnsley,E05000976,E08000016
Kingstone,Barnsley,E05000985,E08000016
Stairfoot,Barnsley,E05000994,E08000016
Worsbrough,Barnsley,E05000996,E08000016
Rockingham,Barnsley,E05000991,E08000016
Hoyland Milton,Barnsley,E05000984,E08000016
Dodworth,Barnsley,E05000983,E08000016
Old Town,Barnsley,E05000988,E08000016
St Helens,Barnsley,E05000993,E08000016
Monk Bretton,Barnsley,E05000986,E08000016
Cudworth,Barnsley,E05000977,E08000016
Royston,Barnsley,E05000992,E08000016
Darfield,Barnsley,E05000978,E08000016
Wombwell,Barnsley,E05000995,E08000016
Darton West,Barnsley,E05000980,E08000016
Darton East,Barnsley,E05000979,E08000016
