Ward Name,La Name,Ward Code,La Code
Misterton,Bassetlaw,E07000171,E05006389
Beckingham,Bassetlaw,E05006377,E07000171
Everton,Bassetlaw,E05006386,E07000171
Clayworth,Bassetlaw,E05006380,E07000171
Sutton,Bassetlaw,E05006393,E07000171
Ranskill,Bassetlaw,E05006391,E07000171
Harworth,Bassetlaw,E05006387,E07000171
Blyth,Bassetlaw,E05006378,E07000171
Worksop North West,Bassetlaw,E05006399,E07000171
Carlton,Bassetlaw,E05006379,E07000171
Sturton,Bassetlaw,E05006392,E07000171
Rampton,Bassetlaw,E05006390,E07000171
East Retford East,Bassetlaw,E05006382,E07000171
East Retford North,Bassetlaw,E05006383,E07000171
Tuxford and Trent,Bassetlaw,E05006394,E07000171
East Markham,Bassetlaw,E05006381,E07000171
Welbeck,Bassetlaw,E05006395,E07000171
East Retford West,Bassetlaw,E05006385,E07000171
East Retford South,Bassetlaw,E05006384,E07000171
Worksop East,Bassetlaw,E05006396,E07000171
Worksop South,Bassetlaw,E05006400,E07000171
Worksop South East,Bassetlaw,E05006401,E07000171
Worksop North East,Bassetlaw,E05006398,E07000171
Langold,Bassetlaw,E05006388,E07000171
Worksop North,Bassetlaw,E05006397,E07000171
