Ward Name,La Name,Ward Code,La Code
Castle,Bedford,E06000055,E05008753
Queens Park,Bedford,E05008772,E06000055
Harpur,Bedford,E05008761,E06000055
Putnoe,Bedford,E05008771,E06000055
Kempston South,Bedford,E05008766,E06000055
Great Barford,Bedford,E05008760,E06000055
De Parys,Bedford,E05008756,E06000055
Brickhill,Bedford,E05008751,E06000055
Newnham,Bedford,E05008769,E06000055
Bromham and Biddenham,Bedford,E05008752,E06000055
Kempston Rural,Bedford,E05008765,E06000055
Goldington,Bedford,E05008759,E06000055
Cauldwell,Bedford,E05008754,E06000055
Clapham,Bedford,E05008755,E06000055
Oakley,Bedford,E05008770,E06000055
Sharnbrook,Bedford,E05008774,E06000055
Eastcotts,Bedford,E05008757,E06000055
Kingsbrook,Bedford,E05008768,E06000055
Wilshamstead,Bedford,E05008775,E06000055
Elstow and Stewartby,Bedford,E05008758,E06000055
Kempston West,Bedford,E05008767,E06000055
Kempston Central and East,Bedford,E05008763,E06000055
Kempston North,Bedford,E05008764,E06000055
Harrold,Bedford,E05008762,E06000055
Wootton,Bedford,E05008776,E06000055
Riseley,Bedford,E05008773,E06000055
Wyboston,Bedford,E05008777,E06000055
