Ward Name,La Name,Ward Code,La Code
Duncairn,Belfast,N09000003,N08000322
New Lodge,Belfast,N08000340,N09000003
Central,Belfast,N08000315,N09000003
Falls,Belfast,N08000324,N09000003
Musgrave,Belfast,N08000339,N09000003
Upper Malone,Belfast,N08000356,N09000003
Dunmurry,Belfast,N08000323,N09000003
Finaghy,Belfast,N08000326,N09000003
Ladybrook,Belfast,N08000334,N09000003
Falls Park,Belfast,N08000325,N09000003
Collin Glen,Belfast,N08000319,N09000003
Shaw's Road,Belfast,N08000349,N09000003
Andersonstown,Belfast,N08000301,N09000003
Turf Lodge,Belfast,N08000354,N09000003
Stewartstown,Belfast,N08000350,N09000003
Clonard,Belfast,N08000318,N09000003
Blackstaff,Belfast,N08000312,N09000003
Beechmount,Belfast,N08000307,N09000003
Woodvale,Belfast,N08000360,N09000003
Ballygomartin,Belfast,N08000303,N09000003
Ballymurphy,Belfast,N08000305,N09000003
Ardoyne,Belfast,N08000302,N09000003
Shankill,Belfast,N08000348,N09000003
Forth River,Belfast,N08000327,N09000003
Water Works,Belfast,N08000357,N09000003
Cliftonville,Belfast,N08000317,N09000003
Chichester Park,Belfast,N08000316,N09000003
Ballysillan,Belfast,N08000306,N09000003
Cavehill,Belfast,N08000314,N09000003
Legoniel,Belfast,N08000336,N09000003
Fortwilliam,Belfast,N08000328,N09000003
Innisfayle,Belfast,N08000332,N09000003
Bellevue,Belfast,N08000309,N09000003
Stormont,Belfast,N08000351,N09000003
Gilnahirk,Belfast,N08000330,N09000003
Twinbrook,Belfast,N08000355,N09000003
Lagmore,Belfast,N08000335,N09000003
Poleglass,Belfast,N08000343,N09000003
Garnerville,Belfast,N08000329,N09000003
Belmont,Belfast,N08000310,N09000003
Sydenham,Belfast,N08000353,N09000003
Ballymacarrett,Belfast,N08000304,N09000003
Connswater,Belfast,N08000320,N09000003
Beersbridge,Belfast,N08000308,N09000003
Bloomfield,Belfast,N08000313,N09000003
Knock,Belfast,N08000333,N09000003
Orangefield,Belfast,N08000341,N09000003
Sandown,Belfast,N08000346,N09000003
Shandon,Belfast,N08000347,N09000003
Merok,Belfast,N08000338,N09000003
Hillfoot,Belfast,N08000331,N09000003
Ravenhill,Belfast,N08000344,N09000003
Cregagh,Belfast,N08000321,N09000003
Ormeau,Belfast,N08000342,N09000003
Rosetta,Belfast,N08000345,N09000003
Woodstock,Belfast,N08000359,N09000003
Windsor,Belfast,N08000358,N09000003
Belvoir,Belfast,N08000311,N09000003
Stranmillis,Belfast,N08000352,N09000003
Malone,Belfast,N08000337,N09000003
