Ward Name,La Name,Ward Code,La Code
Crayford,Bexley,E09000004,E05011222
Barnehurst,Bexley,E05011217,E09000004
Sidcup,Bexley,E05011230,E09000004
Blackfen & Lamorbey,Bexley,E05011220,E09000004
Blendon & Penhill,Bexley,E05011221,E09000004
St Mary's & St James,Bexley,E05011229,E09000004
Longlands,Bexley,E05011227,E09000004
Falconwood & Welling,Bexley,E05011226,E09000004
Crook Log,Bexley,E05011223,E09000004
West Heath,Bexley,E05011233,E09000004
East Wickham,Bexley,E05011224,E09000004
Belvedere,Bexley,E05011218,E09000004
Erith,Bexley,E05011225,E09000004
Northumberland Heath,Bexley,E05011228,E09000004
Thamesmead East,Bexley,E05011232,E09000004
Slade Green & Northend,Bexley,E05011231,E09000004
Bexleyheath,Bexley,E05011219,E09000004
