Ward Name,La Name,Ward Code,La Code
Winstanley,Blaby,E07000129,E05009620
Stanton and Flamville,Blaby,E05005424,E07000129
Croft Hill,Blaby,E05005411,E07000129
Countesthorpe,Blaby,E05005410,E07000129
Saxondale,Blaby,E05005423,E07000129
Pastures,Blaby,E05005421,E07000129
Enderby and St John's,Blaby,E05005413,E07000129
Millfield,Blaby,E05005416,E07000129
Ravenhurst and Fosse,Blaby,E05005422,E07000129
Narborough and Littlethorpe,Blaby,E05005418,E07000129
North Whetstone,Blaby,E05005420,E07000129
Normanton,Blaby,E05005419,E07000129
Forest,Blaby,E05009619,E07000129
Muxloe,Blaby,E05005417,E07000129
Fairestone,Blaby,E05005414,E07000129
Ellis,Blaby,E05005412,E07000129
Blaby South,Blaby,E05005408,E07000129
Cosby with South Whetstone,Blaby,E05005409,E07000129
