Ward Name,La Name,Ward Code,La Code
Audley & Queen's Park,Blackburn with Darwen,E06000008,E05011508
Blackburn Central,Blackburn with Darwen,E05011511,E06000008
Blackburn South East,Blackburn with Darwen,E05011513,E06000008
Little Harwood & Whitebirk,Blackburn with Darwen,E05011518,E06000008
Blackburn South & Lower Darwen,Blackburn with Darwen,E05011512,E06000008
West Pennine,Blackburn with Darwen,E05011524,E06000008
Bastwell & Daisyfield,Blackburn with Darwen,E05011509,E06000008
Roe Lee,Blackburn with Darwen,E05011521,E06000008
Shear Brow & Corporation Park,Blackburn with Darwen,E05011522,E06000008
Billinge & Beardwood,Blackburn with Darwen,E05011510,E06000008
Wensley Fold,Blackburn with Darwen,E05011523,E06000008
Mill Hill & Moorgate,Blackburn with Darwen,E05011520,E06000008
Livesey with Pleasington,Blackburn with Darwen,E05011519,E06000008
Ewood,Blackburn with Darwen,E05011517,E06000008
Darwen West,Blackburn with Darwen,E05011516,E06000008
Darwen East,Blackburn with Darwen,E05011514,E06000008
Darwen South,Blackburn with Darwen,E05011515,E06000008
