Ward Name,La Name,Ward Code,La Code
Tibshelf,Bolsover,E07000033,E05011998
South Normanton West,Bolsover,E05011997,E07000033
South Normanton East,Bolsover,E05011996,E07000033
Pinxton,Bolsover,E05011993,E07000033
Blackwell,Bolsover,E05011985,E07000033
Ault Hucknall,Bolsover,E05011983,E07000033
Shirebrook South,Bolsover,E05011995,E07000033
Shirebrook North,Bolsover,E05011994,E07000033
Langwith,Bolsover,E05011992,E07000033
Bolsover East,Bolsover,E05011986,E07000033
Elmton-with-Creswell,Bolsover,E05011991,E07000033
Barlborough,Bolsover,E05011984,E07000033
Clowne East,Bolsover,E05011989,E07000033
Whitwell,Bolsover,E05011999,E07000033
Clowne West,Bolsover,E05011990,E07000033
Bolsover North & Shuttlewood,Bolsover,E05011987,E07000033
Bolsover South,Bolsover,E05011988,E07000033
