Ward Name,La Name,Ward Code,La Code
Swineshead and Holland Fen,Boston,E07000136,E05009631
Five Village,Boston,E05009624,E07000136
Kirton and Frampton,Boston,E05009625,E07000136
Wyberton,Boston,E05009635,E07000136
Trinity,Boston,E05009632,E07000136
Skirbeck,Boston,E05009628,E07000136
Fishtoft,Boston,E05009623,E07000136
Coastal,Boston,E05009621,E07000136
Station,Boston,E05009630,E07000136
Witham,Boston,E05009634,E07000136
West,Boston,E05009633,E07000136
St Thomas',Boston,E05009627,E07000136
Staniland,Boston,E05009629,E07000136
Fenside,Boston,E05009622,E07000136
Old Leake and Wrangle,Boston,E05009626,E07000136
