Ward Name,La Name,Ward Code,La Code
East Cliff & Springbourne,"Bournemouth, Christchurch and Poole",E06000058,E05012661
Bournemouth Central,"Bournemouth, Christchurch and Poole",E05012653,E06000058
West Southbourne,"Bournemouth, Christchurch and Poole",E05012679,E06000058
Westbourne & West Cliff,"Bournemouth, Christchurch and Poole",E05012680,E06000058
Boscombe East & Pokesdown,"Bournemouth, Christchurch and Poole",E05012651,E06000058
Boscombe West,"Bournemouth, Christchurch and Poole",E05012652,E06000058
Canford Cliffs,"Bournemouth, Christchurch and Poole",E05012656,E06000058
Littledown & Iford,"Bournemouth, Christchurch and Poole",E05012666,E06000058
Wallisdown & Winton West,"Bournemouth, Christchurch and Poole",E05012678,E06000058
Redhill & Northbourne,"Bournemouth, Christchurch and Poole",E05012676,E06000058
Kinson,"Bournemouth, Christchurch and Poole",E05012665,E06000058
Moordown,"Bournemouth, Christchurch and Poole",E05012667,E06000058
Muscliff & Strouden Park,"Bournemouth, Christchurch and Poole",E05012669,E06000058
Bearwood & Merley,"Bournemouth, Christchurch and Poole",E05012650,E06000058
Alderney & Bourne Valley,"Bournemouth, Christchurch and Poole",E05012649,E06000058
Creekmoor,"Bournemouth, Christchurch and Poole",E05012660,E06000058
Talbot & Branksome Woods,"Bournemouth, Christchurch and Poole",E05012677,E06000058
Penn Hill,"Bournemouth, Christchurch and Poole",E05012673,E06000058
Newtown & Heatherlands,"Bournemouth, Christchurch and Poole",E05012670,E06000058
Parkstone,"Bournemouth, Christchurch and Poole",E05012672,E06000058
Canford Heath,"Bournemouth, Christchurch and Poole",E05012657,E06000058
Oakdale,"Bournemouth, Christchurch and Poole",E05012671,E06000058
Poole Town,"Bournemouth, Christchurch and Poole",E05012674,E06000058
Hamworthy,"Bournemouth, Christchurch and Poole",E05012663,E06000058
Broadstone,"Bournemouth, Christchurch and Poole",E05012654,E06000058
Commons,"Bournemouth, Christchurch and Poole",E05012659,E06000058
Christchurch Town,"Bournemouth, Christchurch and Poole",E05012658,E06000058
Burton & Grange,"Bournemouth, Christchurch and Poole",E05012655,E06000058
"Mudeford, Stanpit & West Highcliffe","Bournemouth, Christchurch and Poole",E05012668,E06000058
Highcliffe & Walkford,"Bournemouth, Christchurch and Poole",E05012664,E06000058
Winton East,"Bournemouth, Christchurch and Poole",E05012681,E06000058
East Southbourne & Tuckton,"Bournemouth, Christchurch and Poole",E05012662,E06000058
Queen's Park,"Bournemouth, Christchurch and Poole",E05012675,E06000058
