Ward Name,La Name,Ward Code,La Code
Central Sandhurst,Bracknell Forest,E06000036,E05002274
College Town,Bracknell Forest,E05002275,E06000036
Owlsmoor,Bracknell Forest,E05002284,E06000036
Little Sandhurst and Wellington,Bracknell Forest,E05002282,E06000036
Ascot,Bracknell Forest,E05002271,E06000036
Binfield with Warfield,Bracknell Forest,E05002272,E06000036
Great Hollands South,Bracknell Forest,E05002279,E06000036
Great Hollands North,Bracknell Forest,E05002278,E06000036
Crowthorne,Bracknell Forest,E05002277,E06000036
Hanworth,Bracknell Forest,E05002280,E06000036
Harmans Water,Bracknell Forest,E05002281,E06000036
Priestwood and Garth,Bracknell Forest,E05002285,E06000036
Crown Wood,Bracknell Forest,E05002276,E06000036
Wildridings and Central,Bracknell Forest,E05002287,E06000036
Old Bracknell,Bracknell Forest,E05002283,E06000036
Bullbrook,Bracknell Forest,E05002273,E06000036
Warfield Harvest Ride,Bracknell Forest,E05002286,E06000036
Winkfield and Cranbourne,Bracknell Forest,E05002288,E06000036
