Ward Name,La Name,Ward Code,La Code
Alperton,Brent,E09000005,E05000085
Sudbury,Brent,E05000101,E09000005
Wembley Central,Brent,E05000104,E09000005
Northwick Park,Brent,E05000096,E09000005
Kenton,Brent,E05000093,E09000005
Barnhill,Brent,E05000086,E09000005
Preston,Brent,E05000097,E09000005
Queensbury,Brent,E05000099,E09000005
Tokyngton,Brent,E05000102,E09000005
Kilburn,Brent,E05000094,E09000005
Dudden Hill,Brent,E05000089,E09000005
Stonebridge,Brent,E05000100,E09000005
Welsh Harp,Brent,E05000103,E09000005
Harlesden,Brent,E05000091,E09000005
Willesden Green,Brent,E05000105,E09000005
Brondesbury Park,Brent,E05000087,E09000005
Kensal Green,Brent,E05000092,E09000005
Queens Park,Brent,E05000098,E09000005
Mapesbury,Brent,E05000095,E09000005
Dollis Hill,Brent,E05000088,E09000005
Fryent,Brent,E05000090,E09000005
