Ward Name,La Name,Ward Code,La Code
"Ingatestone, Fryerning and Mountnessing",Brentwood,E07000068,E05004076
"Herongate, Ingrave and West Horndon",Brentwood,E05004071,E07000068
Hutton Central,Brentwood,E05004072,E07000068
Hutton North,Brentwood,E05004074,E07000068
Brentwood South,Brentwood,E05004068,E07000068
Hutton East,Brentwood,E05004073,E07000068
Hutton South,Brentwood,E05004075,E07000068
Warley,Brentwood,E05004081,E07000068
Brentwood North,Brentwood,E05004067,E07000068
Brentwood West,Brentwood,E05004069,E07000068
South Weald,Brentwood,E05004079,E07000068
Brizes and Doddinghurst,Brentwood,E05004070,E07000068
Pilgrims Hatch,Brentwood,E05004077,E07000068
Tipps Cross,Brentwood,E05004080,E07000068
Shenfield,Brentwood,E05004078,E07000068
