Ward Name,La Name,Ward Code,La Code
Lawrence Hill,"Bristol, City of",E06000023,E05010907
Central,"Bristol, City of",E05010892,E06000023
Ashley,"Bristol, City of",E05010885,E06000023
Cotham,"Bristol, City of",E05010895,E06000023
Hotwells and Harbourside,"Bristol, City of",E05010905,E06000023
Southville,"Bristol, City of",E05010914,E06000023
Horfield,"Bristol, City of",E05010904,E06000023
Southmead,"Bristol, City of",E05010913,E06000023
Westbury-on-Trym and Henleaze,"Bristol, City of",E05010917,E06000023
Henbury and Brentry,"Bristol, City of",E05010901,E06000023
Avonmouth and Lawrence Weston,"Bristol, City of",E05010886,E06000023
Hartcliffe and Withywood,"Bristol, City of",E05010900,E06000023
Hengrove and Whitchurch Park,"Bristol, City of",E05010902,E06000023
Bedminster,"Bristol, City of",E05010887,E06000023
Bishopsworth,"Bristol, City of",E05010889,E06000023
Stockwood,"Bristol, City of",E05010915,E06000023
Knowle,"Bristol, City of",E05010906,E06000023
St George Central,"Bristol, City of",E05010910,E06000023
Hillfields,"Bristol, City of",E05010903,E06000023
Eastville,"Bristol, City of",E05010897,E06000023
St George Troopers Hill,"Bristol, City of",E05010911,E06000023
Clifton,"Bristol, City of",E05010893,E06000023
Frome Vale,"Bristol, City of",E05010899,E06000023
Lockleaze,"Bristol, City of",E05010908,E06000023
Brislington West,"Bristol, City of",E05010891,E06000023
Brislington East,"Bristol, City of",E05010890,E06000023
Windmill Hill,"Bristol, City of",E05010918,E06000023
Filwood,"Bristol, City of",E05010898,E06000023
Easton,"Bristol, City of",E05010896,E06000023
St George West,"Bristol, City of",E05010912,E06000023
Redland,"Bristol, City of",E05010909,E06000023
Clifton Down,"Bristol, City of",E05010894,E06000023
Bishopston and Ashley Down,"Bristol, City of",E05010888,E06000023
Stoke Bishop,"Bristol, City of",E05010916,E06000023
