Ward Name,La Name,Ward Code,La Code
Wormley and Turnford,Broxbourne,E07000095,E05009011
Hoddesdon Town and Rye Park,Broxbourne,E05009008,E07000095
Broxbourne and Hoddesdon South,Broxbourne,E05009002,E07000095
Flamstead End,Broxbourne,E05009005,E07000095
Goffs Oak,Broxbourne,E05009006,E07000095
Hoddesdon North,Broxbourne,E05009007,E07000095
Rosedale and Bury Green,Broxbourne,E05009009,E07000095
Waltham Cross,Broxbourne,E05009010,E07000095
Cheshunt North,Broxbourne,E05009003,E07000095
Cheshunt South and Theobalds,Broxbourne,E05009004,E07000095
