Ward Name,La Name,Ward Code,La Code
Daneshouse with Stoneyholme,Burnley,E07000117,E05005155
Bank Hall,Burnley,E05005150,E07000117
Queensgate,Burnley,E05005160,E07000117
Lanehead,Burnley,E05005159,E07000117
Briercliffe,Burnley,E05005151,E07000117
Cliviger with Worsthorne,Burnley,E05005153,E07000117
Brunshaw,Burnley,E05005152,E07000117
Trinity,Burnley,E05005163,E07000117
Rosehill with Burnley Wood,Burnley,E05005162,E07000117
Coal Clough with Deerplay,Burnley,E05005154,E07000117
Rosegrove with Lowerhouse,Burnley,E05005161,E07000117
Hapton with Park,Burnley,E05005158,E07000117
Whittlefield with Ightenhill,Burnley,E05005164,E07000117
Gannow,Burnley,E05005156,E07000117
Gawthorpe,Burnley,E05005157,E07000117
