Ward Name,La Name,Ward Code,La Code
Ramsbottom,Bury,E08000002,E05000681
Church,Bury,E05000671,E08000002
North Manor,Bury,E05000676,E08000002
Radcliffe West,Bury,E05000680,E08000002
Radcliffe North,Bury,E05000679,E08000002
Elton,Bury,E05000673,E08000002
Tottington,Bury,E05000685,E08000002
Radcliffe East,Bury,E05000678,E08000002
East,Bury,E05000672,E08000002
Moorside,Bury,E05000675,E08000002
Redvales,Bury,E05000682,E08000002
Unsworth,Bury,E05000686,E08000002
Pilkington Park,Bury,E05000677,E08000002
Besses,Bury,E05000670,E08000002
Holyrood,Bury,E05000674,E08000002
Sedgley,Bury,E05000684,E08000002
St Mary's,Bury,E05000683,E08000002
