Ward Name,La Name,Ward Code,La Code
St. James,Caerphilly,W06000018,W05000930
Penyrheol,Caerphilly,W05000926,W06000018
Nelson,Caerphilly,W05000735,W06000018
St. Cattwg,Caerphilly,W05000745,W06000018
Twyn Carno,Caerphilly,W05000748,W06000018
Darren Valley,Caerphilly,W05000728,W06000018
St. Martins,Caerphilly,W05000931,W06000018
Morgan Jones,Caerphilly,W05000923,W06000018
Aber Valley,Caerphilly,W05000720,W06000018
Llanbradach,Caerphilly,W05000921,W06000018
"Bedwas, Trethomas and Machen",Caerphilly,W05000723,W06000018
Ystrad Mynach,Caerphilly,W05000750,W06000018
Hengoed,Caerphilly,W05000730,W06000018
Maesycwmmer,Caerphilly,W05000922,W06000018
Aberbargoed,Caerphilly,W05000718,W06000018
Gilfach,Caerphilly,W05000729,W06000018
Bargoed,Caerphilly,W05000722,W06000018
Pontlottyn,Caerphilly,W05000742,W06000018
Newbridge,Caerphilly,W05000736,W06000018
Crumlin,Caerphilly,W05000920,W06000018
Penmaen,Caerphilly,W05000925,W06000018
Pontllanfraith,Caerphilly,W05000927,W06000018
Abercarn,Caerphilly,W05000719,W06000018
Risca East,Caerphilly,W05000928,W06000018
Risca West,Caerphilly,W05000929,W06000018
Crosskeys,Caerphilly,W05000726,W06000018
Ynysddu,Caerphilly,W05000749,W06000018
Argoed,Caerphilly,W05000721,W06000018
Blackwood,Caerphilly,W05000724,W06000018
New Tredegar,Caerphilly,W05000737,W06000018
Cefn Fforest,Caerphilly,W05000919,W06000018
Pengam,Caerphilly,W05000924,W06000018
Moriah,Caerphilly,W05000734,W06000018
