Ward Name,La Name,Ward Code,La Code
Northowram and Shelf,Calderdale,E08000033,E05001378
Illingworth and Mixenden,Calderdale,E05001376,E08000033
Hipperholme and Lightcliffe,Calderdale,E05001375,E08000033
Elland,Calderdale,E05001373,E08000033
Greetland and Stainland,Calderdale,E05001374,E08000033
Ryburn,Calderdale,E05001382,E08000033
Brighouse,Calderdale,E05001371,E08000033
Rastrick,Calderdale,E05001381,E08000033
Town,Calderdale,E05001386,E08000033
Warley,Calderdale,E05001387,E08000033
Skircoat,Calderdale,E05001383,E08000033
Park,Calderdale,E05001380,E08000033
Ovenden,Calderdale,E05001379,E08000033
Sowerby Bridge,Calderdale,E05001384,E08000033
Luddendenfoot,Calderdale,E05001377,E08000033
Calder,Calderdale,E05001372,E08000033
Todmorden,Calderdale,E05001385,E08000033
