Ward Name,La Name,Ward Code,La Code
King's Cross,Camden,E09000007,E05000141
Holborn and Covent Garden,Camden,E05000138,E09000007
St Pancras and Somers Town,Camden,E05000143,E09000007
Kentish Town,Camden,E05000139,E09000007
Highgate,Camden,E05000137,E09000007
Cantelowes,Camden,E05000131,E09000007
Regent's Park,Camden,E05000142,E09000007
Camden Town with Primrose Hill,Camden,E05000130,E09000007
Bloomsbury,Camden,E05000129,E09000007
Haverstock,Camden,E05000136,E09000007
Fortune Green,Camden,E05000132,E09000007
Hampstead Town,Camden,E05000135,E09000007
Frognal and Fitzjohns,Camden,E05000133,E09000007
Gospel Oak,Camden,E05000134,E09000007
Belsize,Camden,E05000128,E09000007
Swiss Cottage,Camden,E05000144,E09000007
West Hampstead,Camden,E05000145,E09000007
Kilburn,Camden,E05000140,E09000007
