Ward Name,La Name,Ward Code,La Code
Grangetown,Cardiff,W06000015,W05000863
Cathays,Cardiff,W05000857,W06000015
Riverside,Cardiff,W05000877,W06000015
Butetown,Cardiff,W05000854,W06000015
Whitchurch and Tongwynlais,Cardiff,W05000881,W06000015
Penylan,Cardiff,W05000872,W06000015
Adamsdown,Cardiff,W05000853,W06000015
Splott,Cardiff,W05000879,W06000015
Caerau,Cardiff,W05000855,W06000015
Fairwater,Cardiff,W05000861,W06000015
Plasnewydd,Cardiff,W05000873,W06000015
Canton,Cardiff,W05000856,W06000015
Llandaff,Cardiff,W05000866,W06000015
Lisvane,Cardiff,W05000865,W06000015
Llanishen,Cardiff,W05001012,W06000015
Pontprennau/Old St. Mellons,Cardiff,W05000900,W06000015
Cyncoed,Cardiff,W05001011,W06000015
Rhiwbina,Cardiff,W05000876,W06000015
Heath,Cardiff,W05000864,W06000015
Llandaff North,Cardiff,W05000867,W06000015
Gabalfa,Cardiff,W05000862,W06000015
Pentyrch,Cardiff,W05000871,W06000015
Radyr,Cardiff,W05000875,W06000015
Creigiau/St. Fagans,Cardiff,W05000858,W06000015
Pentwyn,Cardiff,W05001014,W06000015
Trowbridge,Cardiff,W05001016,W06000015
Llanrumney,Cardiff,W05001013,W06000015
Rumney,Cardiff,W05001015,W06000015
Ely,Cardiff,W05000860,W06000015
