Ward Name,La Name,Ward Code,La Code
Llannon,Carmarthenshire,W06000010,W05000495
Saron,Carmarthenshire,W05000508,W06000010
Gorslas,Carmarthenshire,W05000477,W06000010
Penygroes,Carmarthenshire,W05000502,W06000010
Elli,Carmarthenshire,W05000471,W06000010
Pontyberem,Carmarthenshire,W05000504,W06000010
Llanddarog,Carmarthenshire,W05000483,W06000010
Llanfihangel Aberbythych,Carmarthenshire,W05000488,W06000010
Llandybie,Carmarthenshire,W05000486,W06000010
Dafen,Carmarthenshire,W05000470,W06000010
Llangennech,Carmarthenshire,W05001003,W06000010
Felinfoel,Carmarthenshire,W05000472,W06000010
Swiss Valley,Carmarthenshire,W05000509,W06000010
Hendy,Carmarthenshire,W05000478,W06000010
Lliedi,Carmarthenshire,W05000498,W06000010
Llwynhendy,Carmarthenshire,W05000499,W06000010
Bynea,Carmarthenshire,W05001002,W06000010
Bigyn,Carmarthenshire,W05000460,W06000010
Tyisha,Carmarthenshire,W05000513,W06000010
Glanymor,Carmarthenshire,W05000475,W06000010
Hengoed,Carmarthenshire,W05000479,W06000010
Glyn,Carmarthenshire,W05000476,W06000010
Trimsaran,Carmarthenshire,W05000511,W06000010
Llangyndeyrn,Carmarthenshire,W05000494,W06000010
Pembrey,Carmarthenshire,W05000501,W06000010
Burry Port,Carmarthenshire,W05000461,W06000010
Kidwelly,Carmarthenshire,W05000480,W06000010
St. Ishmael,Carmarthenshire,W05000507,W06000010
Quarter Bach,Carmarthenshire,W05000505,W06000010
Garnant,Carmarthenshire,W05000473,W06000010
Glanamman,Carmarthenshire,W05000474,W06000010
Ammanford,Carmarthenshire,W05000458,W06000010
Pontamman,Carmarthenshire,W05000503,W06000010
Betws,Carmarthenshire,W05000459,W06000010
Llandeilo,Carmarthenshire,W05000484,W06000010
Tycroes,Carmarthenshire,W05000512,W06000010
Manordeilo and Salem,Carmarthenshire,W05000500,W06000010
Llangadog,Carmarthenshire,W05000490,W06000010
Cilycwm,Carmarthenshire,W05000467,W06000010
Cynwyl Gaeo,Carmarthenshire,W05000469,W06000010
Llanybydder,Carmarthenshire,W05000497,W06000010
Llanegwad,Carmarthenshire,W05000487,W06000010
Llandovery,Carmarthenshire,W05000485,W06000010
Carmarthen Town South,Carmarthenshire,W05000464,W06000010
Carmarthen Town North,Carmarthenshire,W05000463,W06000010
Llangunnor,Carmarthenshire,W05000493,W06000010
Whitland,Carmarthenshire,W05000514,W06000010
St. Clears,Carmarthenshire,W05000506,W06000010
Carmarthen Town West,Carmarthenshire,W05000465,W06000010
Abergwili,Carmarthenshire,W05000457,W06000010
Cynwyl Elfed,Carmarthenshire,W05000468,W06000010
Llanfihangel-ar-Arth,Carmarthenshire,W05000489,W06000010
Llanboidy,Carmarthenshire,W05000482,W06000010
Trelech,Carmarthenshire,W05000510,W06000010
Laugharne Township,Carmarthenshire,W05000481,W06000010
Llansteffan,Carmarthenshire,W05000496,W06000010
Llangeler,Carmarthenshire,W05000491,W06000010
Cenarth,Carmarthenshire,W05000466,W06000010
