Ward Name,La Name,Ward Code,La Code
Cedar Hall,Castle Point,E07000069,E05004090
Victoria,Castle Point,E05004095,E07000069
St Peter's,Castle Point,E05004094,E07000069
Boyce,Castle Point,E05004083,E07000069
St James,Castle Point,E05004092,E07000069
Appleton,Castle Point,E05004082,E07000069
St Mary's,Castle Point,E05004093,E07000069
St George's,Castle Point,E05004091,E07000069
Canvey Island South,Castle Point,E05004087,E07000069
Canvey Island West,Castle Point,E05004088,E07000069
Canvey Island Central,Castle Point,E05004084,E07000069
Canvey Island East,Castle Point,E05004085,E07000069
Canvey Island North,Castle Point,E05004086,E07000069
Canvey Island Winter Gardens,Castle Point,E05004089,E07000069
