Ward Name,La Name,Ward Code,La Code
Caddington,Central Bedfordshire,E06000056,E05012844
Toddington,Central Bedfordshire,E05008807,E06000056
Barton-le-Clay,Central Bedfordshire,E05008781,E06000056
Dunstable-Icknield,Central Bedfordshire,E05008787,E06000056
Dunstable-Manshead,Central Bedfordshire,E05012845,E06000056
Dunstable-Central,Central Bedfordshire,E05008786,E06000056
Houghton Hall,Central Bedfordshire,E05012848,E06000056
Dunstable-Northfields,Central Bedfordshire,E05012846,E06000056
Tithe Farm,Central Bedfordshire,E05008806,E06000056
Parkside,Central Bedfordshire,E05008800,E06000056
Heath and Reach,Central Bedfordshire,E05008793,E06000056
Eaton Bray,Central Bedfordshire,E05008791,E06000056
Dunstable-Watling,Central Bedfordshire,E05008790,E06000056
Linslade,Central Bedfordshire,E05008798,E06000056
Leighton Buzzard South,Central Bedfordshire,E05008797,E06000056
Leighton Buzzard North,Central Bedfordshire,E05008796,E06000056
Aspley and Woburn,Central Bedfordshire,E05008780,E06000056
Cranfield and Marston Moretaine,Central Bedfordshire,E05008785,E06000056
"Westoning, Flitton and Greenfield",Central Bedfordshire,E05008808,E06000056
Houghton Conquest and Haynes,Central Bedfordshire,E05012847,E06000056
Northill,Central Bedfordshire,E05012849,E06000056
Sandy,Central Bedfordshire,E05012850,E06000056
Flitwick,Central Bedfordshire,E05008792,E06000056
Ampthill,Central Bedfordshire,E05012843,E06000056
Silsoe and Shillington,Central Bedfordshire,E05008804,E06000056
Potton,Central Bedfordshire,E05008801,E06000056
Arlesey,Central Bedfordshire,E05008779,E06000056
Shefford,Central Bedfordshire,E05008803,E06000056
Biggleswade North,Central Bedfordshire,E05008782,E06000056
Biggleswade South,Central Bedfordshire,E05008783,E06000056
Stotfold and Langford,Central Bedfordshire,E05008805,E06000056
