Ward Name,La Name,Ward Code,La Code
Aberteifi/Cardigan-Teifi,Ceredigion,W06000008,W05000361
Llandyfriog,Ceredigion,W05000377,W06000008
Troedyraur,Ceredigion,W05000395,W06000008
Beulah,Ceredigion,W05000367,W06000008
Capel Dewi,Ceredigion,W05000369,W06000008
Llanwenog,Ceredigion,W05000386,W06000008
Llandysilio-gogo,Ceredigion,W05000378,W06000008
Llanarth,Ceredigion,W05000374,W06000008
Lampeter,Ceredigion,W05000373,W06000008
Aberteifi/Cardigan-Rhyd-y-Fuwch,Ceredigion,W05000360,W06000008
Aberteifi/Cardigan-Mwldan,Ceredigion,W05000359,W06000008
Pen-parc,Ceredigion,W05000391,W06000008
Aberporth,Ceredigion,W05000358,W06000008
Penbryn,Ceredigion,W05000390,W06000008
Llandysul Town,Ceredigion,W05000379,W06000008
New Quay,Ceredigion,W05000389,W06000008
Aberaeron,Ceredigion,W05000357,W06000008
Ciliau Aeron,Ceredigion,W05000371,W06000008
Llansantffraed,Ceredigion,W05000385,W06000008
Llanfihangel Ystrad,Ceredigion,W05000381,W06000008
Llangybi,Ceredigion,W05000383,W06000008
Llangeitho,Ceredigion,W05000382,W06000008
Ceulanamaesmawr,Ceredigion,W05000370,W06000008
Aberystwyth Canol/Central,Ceredigion,W05000363,W06000008
Aberystwyth Rheidol,Ceredigion,W05000366,W06000008
Aberystwyth Bronglais,Ceredigion,W05000362,W06000008
Llanbadarn Fawr-Sulien,Ceredigion,W05000376,W06000008
Llanfarian,Ceredigion,W05000380,W06000008
Aberystwyth Penparcau,Ceredigion,W05000365,W06000008
Aberystwyth Gogledd/North,Ceredigion,W05000364,W06000008
Llanbadarn Fawr-Padarn,Ceredigion,W05000375,W06000008
Melindwr,Ceredigion,W05000388,W06000008
Faenor,Ceredigion,W05000372,W06000008
Trefeurig,Ceredigion,W05000393,W06000008
Tirymynach,Ceredigion,W05000392,W06000008
Ystwyth,Ceredigion,W05000396,W06000008
Lledrod,Ceredigion,W05000387,W06000008
Llanrhystyd,Ceredigion,W05000384,W06000008
Borth,Ceredigion,W05000368,W06000008
Tregaron,Ceredigion,W05000394,W06000008
