Ward Name,La Name,Ward Code,La Code
Loughborough Southfields,Charnwood,E07000130,E05005440
Loughborough Lemyngton,Charnwood,E05005436,E07000130
Loughborough Storer,Charnwood,E05005441,E07000130
Loughborough Garendon,Charnwood,E05005434,E07000130
Loughborough Ashby,Charnwood,E05005432,E07000130
Loughborough Dishley and Hathern,Charnwood,E05005433,E07000130
Loughborough Nanpantan,Charnwood,E05005437,E07000130
The Wolds,Charnwood,E05005451,E07000130
Loughborough Outwoods,Charnwood,E05005438,E07000130
Loughborough Hastings,Charnwood,E05005435,E07000130
Loughborough Shelthorpe,Charnwood,E05005439,E07000130
Shepshed West,Charnwood,E05005447,E07000130
Quorn and Mountsorrel Castle,Charnwood,E05005444,E07000130
Mountsorrel,Charnwood,E05005442,E07000130
Wreake Villages,Charnwood,E05005453,E07000130
Sileby,Charnwood,E05005448,E07000130
Barrow and Sileby West,Charnwood,E05005427,E07000130
Rothley and Thurcaston,Charnwood,E05005445,E07000130
Forest Bradgate,Charnwood,E05005431,E07000130
Shepshed East,Charnwood,E05005446,E07000130
Birstall Wanlip,Charnwood,E05005428,E07000130
Birstall Watermead,Charnwood,E05005429,E07000130
Thurmaston,Charnwood,E05005452,E07000130
Queniborough,Charnwood,E05005443,E07000130
Syston West,Charnwood,E05005450,E07000130
Syston East,Charnwood,E05005449,E07000130
East Goscote,Charnwood,E05005430,E07000130
Anstey,Charnwood,E05005426,E07000130
