Ward Name,La Name,Ward Code,La Code
St Paul's,Cheltenham,E07000078,E05004302
College,Cheltenham,E05004293,E07000078
All Saints,Cheltenham,E05004288,E07000078
Lansdown,Cheltenham,E05004295,E07000078
Park,Cheltenham,E05004298,E07000078
St Peter's,Cheltenham,E05004303,E07000078
Pittville,Cheltenham,E05004299,E07000078
Prestbury,Cheltenham,E05004300,E07000078
Swindon Village,Cheltenham,E05004305,E07000078
Springbank,Cheltenham,E05004304,E07000078
Hesters Way,Cheltenham,E05004294,E07000078
Benhall and The Reddings,Cheltenham,E05004290,E07000078
Warden Hill,Cheltenham,E05004307,E07000078
Up Hatherley,Cheltenham,E05004306,E07000078
Leckhampton,Cheltenham,E05004296,E07000078
St Mark's,Cheltenham,E05004301,E07000078
Oakley,Cheltenham,E05004297,E07000078
Battledown,Cheltenham,E05004289,E07000078
Charlton Park,Cheltenham,E05004292,E07000078
Charlton Kings,Cheltenham,E05004291,E07000078
