Ward Name,La Name,Ward Code,La Code
Wrenbury,Cheshire East,E06000049,E05008660
Crewe East,Cheshire East,E05008621,E06000049
Haslington,Cheshire East,E05008630,E06000049
Crewe Central,Cheshire East,E05008620,E06000049
Nantwich North and West,Cheshire East,E05008642,E06000049
Crewe South,Cheshire East,E05008624,E06000049
Crewe St Barnabas,Cheshire East,E05008623,E06000049
Crewe North,Cheshire East,E05008622,E06000049
Leighton,Cheshire East,E05008633,E06000049
Brereton Rural,Cheshire East,E05008614,E06000049
Wistaston,Cheshire East,E05008659,E06000049
Bunbury,Cheshire East,E05008616,E06000049
Middlewich,Cheshire East,E05008640,E06000049
Dane Valley,Cheshire East,E05008626,E06000049
Sandbach Town,Cheshire East,E05008651,E06000049
Sandbach Heath and East,Cheshire East,E05008650,E06000049
Congleton West,Cheshire East,E05008619,E06000049
Sandbach Elworth,Cheshire East,E05008648,E06000049
Sandbach Ettiley Heath and Wheelock,Cheshire East,E05008649,E06000049
Congleton East,Cheshire East,E05008618,E06000049
Gawsworth,Cheshire East,E05008628,E06000049
Odd Rode,Cheshire East,E05008644,E06000049
Shavington,Cheshire East,E05008652,E06000049
Wybunbury,Cheshire East,E05008661,E06000049
Willaston and Rope,Cheshire East,E05008654,E06000049
Crewe West,Cheshire East,E05008625,E06000049
Audlem,Cheshire East,E05008612,E06000049
Nantwich South and Stapeley,Cheshire East,E05008643,E06000049
Macclesfield Central,Cheshire East,E05008634,E06000049
High Legh,Cheshire East,E05008631,E06000049
Wilmslow Lacey Green,Cheshire East,E05008657,E06000049
Macclesfield East,Cheshire East,E05008635,E06000049
Macclesfield Tytherington,Cheshire East,E05008638,E06000049
Macclesfield Hurdsfield,Cheshire East,E05008636,E06000049
Bollington,Cheshire East,E05008613,E06000049
Broken Cross and Upton,Cheshire East,E05008615,E06000049
Macclesfield West and Ivy,Cheshire East,E05008639,E06000049
Prestbury,Cheshire East,E05008647,E06000049
Poynton West and Adlington,Cheshire East,E05008646,E06000049
Chelford,Cheshire East,E05008617,E06000049
Poynton East and Pott Shrigley,Cheshire East,E05008645,E06000049
Sutton,Cheshire East,E05008653,E06000049
Macclesfield South,Cheshire East,E05008637,E06000049
Disley,Cheshire East,E05008627,E06000049
Handforth,Cheshire East,E05008629,E06000049
Wilmslow West and Chorley,Cheshire East,E05008658,E06000049
Wilmslow East,Cheshire East,E05008656,E06000049
Wilmslow Dean Row,Cheshire East,E05008655,E06000049
Mobberley,Cheshire East,E05008641,E06000049
Alderley Edge,Cheshire East,E05008610,E06000049
Alsager,Cheshire East,E05008611,E06000049
Knutsford,Cheshire East,E05008632,E06000049
