Ward Name,La Name,Ward Code,La Code
Goodwood,Chichester,E07000225,E05011674
Fernhurst,Chichester,E05011672,E07000225
Easebourne,Chichester,E05011671,E07000225
Petworth,Chichester,E05011681,E07000225
Fittleworth,Chichester,E05011673,E07000225
Midhurst,Chichester,E05011679,E07000225
Loxwood,Chichester,E05011678,E07000225
Harting,Chichester,E05011676,E07000225
Southbourne,Chichester,E05011684,E07000225
Westbourne,Chichester,E05011686,E07000225
Lavant,Chichester,E05011677,E07000225
North Mundham & Tangmere,Chichester,E05011680,E07000225
Chichester East,Chichester,E05011667,E07000225
Chichester Central,Chichester,E05011666,E07000225
Harbour Villages,Chichester,E05011675,E07000225
Chichester North,Chichester,E05011668,E07000225
Chichester West,Chichester,E05011670,E07000225
Chichester South,Chichester,E05011669,E07000225
Selsey South,Chichester,E05011682,E07000225
Sidlesham with Selsey North,Chichester,E05011683,E07000225
The Witterings,Chichester,E05011685,E07000225
