Ward Name,La Name,Ward Code,La Code
Bishopsgate,City of London,E09000001,E05009292
Portsoken,City of London,E05009308,E09000001
Aldgate,City of London,E05009289,E09000001
Tower,City of London,E05009310,E09000001
Bread Street,City of London,E05009293,E09000001
Farringdon Within,City of London,E05009304,E09000001
Farringdon Without,City of London,E05009305,E09000001
Castle Baynard,City of London,E05009297,E09000001
Cheap,City of London,E05009298,E09000001
Aldersgate,City of London,E05009288,E09000001
Cripplegate,City of London,E05009302,E09000001
Coleman Street,City of London,E05009299,E09000001
Broad Street,City of London,E05009295,E09000001
Cornhill,City of London,E05009301,E09000001
Walbrook,City of London,E05009312,E09000001
Lime Street,City of London,E05009307,E09000001
Cordwainer,City of London,E05009300,E09000001
Bassishaw,City of London,E05009290,E09000001
Langbourn,City of London,E05009306,E09000001
Bridge,City of London,E05009294,E09000001
Candlewick,City of London,E05009296,E09000001
Billingsgate,City of London,E05009291,E09000001
Vintry,City of London,E05009311,E09000001
Queenhithe,City of London,E05009309,E09000001
Dowgate,City of London,E05009303,E09000001
