Ward Name,La Name,Ward Code,La Code
"Distington, Lowca & Parton",Copeland,E07000029,E05012553
Arlecdon & Ennerdale,Copeland,E05012548,E07000029
Black Combe & Scafell,Copeland,E05012550,E07000029
Gosforth & Seascale,Copeland,E05012555,E07000029
Beckermet,Copeland,E05012549,E07000029
Egremont,Copeland,E05012554,E07000029
St Bees,Copeland,E05012561,E07000029
Moor Row & Bigrigg,Copeland,E05012559,E07000029
Cleator Moor,Copeland,E05012551,E07000029
Whitehaven Central,Copeland,E05012563,E07000029
Hillcrest,Copeland,E05012556,E07000029
Moresby,Copeland,E05012560,E07000029
Corkickle,Copeland,E05012552,E07000029
Sneckyeat,Copeland,E05012562,E07000029
Whitehaven South,Copeland,E05012564,E07000029
Kells,Copeland,E05012557,E07000029
Millom,Copeland,E05012558,E07000029
