Ward Name,La Name,Ward Code,La Code
Grumbolds Ash with Avening,Cotswold,E07000079,E05010708
Ermin,Cotswold,E05010704,E07000079
Sandywell,Cotswold,E05010716,E07000079
Chedworth & Churn Valley,Cotswold,E05010701,E07000079
Stow,Cotswold,E05010719,E07000079
Fosseridge,Cotswold,E05010706,E07000079
Bourton Vale,Cotswold,E05010698,E07000079
Bourton Village,Cotswold,E05010699,E07000079
The Rissingtons,Cotswold,E05010726,E07000079
Northleach,Cotswold,E05010714,E07000079
Coln Valley,Cotswold,E05010703,E07000079
Campden & Vale,Cotswold,E05010700,E07000079
Blockley,Cotswold,E05010697,E07000079
Moreton West,Cotswold,E05010712,E07000079
Moreton East,Cotswold,E05010711,E07000079
Watermoor,Cotswold,E05010727,E07000079
St Michael's,Cotswold,E05010715,E07000079
Chesterton,Cotswold,E05010702,E07000079
The Beeches,Cotswold,E05010725,E07000079
New Mills,Cotswold,E05010713,E07000079
Four Acres,Cotswold,E05010707,E07000079
Siddington & Cerney Rural,Cotswold,E05010717,E07000079
Abbey,Cotswold,E05010696,E07000079
Stratton,Cotswold,E05010720,E07000079
"Lechlade, Kempsford & Fairford South",Cotswold,E05010710,E07000079
Fairford North,Cotswold,E05010705,E07000079
The Ampneys & Hampton,Cotswold,E05010724,E07000079
South Cerney Village,Cotswold,E05010718,E07000079
Kemble,Cotswold,E05010709,E07000079
Tetbury East & Rural,Cotswold,E05010721,E07000079
Tetbury Town,Cotswold,E05010722,E07000079
Tetbury with Upton,Cotswold,E05010723,E07000079
