Ward Name,La Name,Ward Code,La Code
Elvet and Gilesgate,County Durham,E06000047,E05009060
Belmont,County Durham,E05009036,E06000047
Neville's Cross,County Durham,E05009070,E06000047
Sherburn,County Durham,E05009079,E06000047
Lumley,County Durham,E05009068,E06000047
Sacriston,County Durham,E05009076,E06000047
Esh and Witton Gilbert,County Durham,E05009061,E06000047
Durham South,County Durham,E05009058,E06000047
Coxhoe,County Durham,E05009051,E06000047
Brandon,County Durham,E05009041,E06000047
Deerness,County Durham,E05009055,E06000047
Framwellgate and Newton Hall,County Durham,E05009064,E06000047
North Lodge,County Durham,E05009071,E06000047
Pelton,County Durham,E05009073,E06000047
Chester-le-Street North,County Durham,E05009044,E06000047
Chester-le-Street West Central,County Durham,E05009046,E06000047
Chester-le-Street South,County Durham,E05009045,E06000047
Chester-le-Street East,County Durham,E05009043,E06000047
Trimdon and Thornley,County Durham,E05009086,E06000047
Shotton and South Hetton,County Durham,E05009081,E06000047
Easington,County Durham,E05009059,E06000047
Murton,County Durham,E05009069,E06000047
Bishop Middleham and Cornforth,County Durham,E05009039,E06000047
Tudhoe,County Durham,E05009087,E06000047
Ferryhill,County Durham,E05009063,E06000047
Lanchester,County Durham,E05009066,E06000047
Willington and Hunwick,County Durham,E05009090,E06000047
Benfieldside,County Durham,E05009037,E06000047
Leadgate and Medomsley,County Durham,E05009067,E06000047
Consett North,County Durham,E05009048,E06000047
Delves Lane,County Durham,E05009056,E06000047
Consett South,County Durham,E05009049,E06000047
Weardale,County Durham,E05009088,E06000047
Tanfield,County Durham,E05009084,E06000047
Stanley,County Durham,E05009083,E06000047
Craghead and South Moor,County Durham,E05009052,E06000047
Annfield Plain,County Durham,E05009030,E06000047
Burnopfield and Dipton,County Durham,E05009042,E06000047
Barnard Castle East,County Durham,E05009034,E06000047
Sedgefield,County Durham,E05009078,E06000047
Aycliffe East,County Durham,E05009031,E06000047
Barnard Castle West,County Durham,E05009035,E06000047
Bishop Auckland Town,County Durham,E05009038,E06000047
Evenwood,County Durham,E05009062,E06000047
Tow Law,County Durham,E05009085,E06000047
West Auckland,County Durham,E05009089,E06000047
Woodhouse Close,County Durham,E05009092,E06000047
Crook,County Durham,E05009053,E06000047
Shildon and Dene Valley,County Durham,E05009080,E06000047
Coundon,County Durham,E05009050,E06000047
Spennymoor,County Durham,E05009082,E06000047
Chilton,County Durham,E05009047,E06000047
Aycliffe North and Middridge,County Durham,E05009032,E06000047
Aycliffe West,County Durham,E05009033,E06000047
Seaham,County Durham,E05009077,E06000047
Deneside,County Durham,E05009057,E06000047
Dawdon,County Durham,E05009054,E06000047
Peterlee East,County Durham,E05009074,E06000047
Passfield,County Durham,E05009072,E06000047
Peterlee West,County Durham,E05009075,E06000047
Horden,County Durham,E05009065,E06000047
Blackhalls,County Durham,E05009040,E06000047
Wingate,County Durham,E05009091,E06000047
