Ward Name,La Name,Ward Code,La Code
St Michael's,Coventry,E08000026,E05001228
Radford,Coventry,E05001227,E08000026
Binley and Willenhall,Coventry,E05001219,E08000026
Lower Stoke,Coventry,E05001226,E08000026
Cheylesmore,Coventry,E05001220,E08000026
Foleshill,Coventry,E05001222,E08000026
Sherbourne,Coventry,E05001229,E08000026
Whoberley,Coventry,E05001233,E08000026
Longford,Coventry,E05001225,E08000026
Henley,Coventry,E05001223,E08000026
Wyken,Coventry,E05001235,E08000026
Upper Stoke,Coventry,E05001230,E08000026
Earlsdon,Coventry,E05001221,E08000026
Wainbody,Coventry,E05001231,E08000026
Westwood,Coventry,E05001232,E08000026
Woodlands,Coventry,E05001234,E08000026
Bablake,Coventry,E05001218,E08000026
Holbrook,Coventry,E05001224,E08000026
