Ward Name,La Name,Ward Code,La Code
West Craven,Craven,E07000163,E05009671
Glusburn,Craven,E05009666,E07000163
Sutton-in-Craven,Craven,E05009670,E07000163
Cowling,Craven,E05010776,E07000163
Aire Valley with Lothersdale,Craven,E05010774,E07000163
Skipton West,Craven,E05009669,E07000163
Skipton North,Craven,E05009668,E07000163
Skipton East,Craven,E05009667,E07000163
Gargrave and Malhamdale,Craven,E05009665,E07000163
Skipton South,Craven,E05006203,E07000163
Barden Fell,Craven,E05010775,E07000163
Hellifield and Long Preston,Craven,E05010778,E07000163
Settle and Ribblebanks,Craven,E05010780,E07000163
Grassington,Craven,E05010777,E07000163
Upper Wharfedale,Craven,E05006206,E07000163
Penyghent,Craven,E05010779,E07000163
Embsay-with-Eastby,Craven,E05009664,E07000163
Ingleton and Clapham,Craven,E05006198,E07000163
Bentham,Craven,E05006191,E07000163
