Ward Name,La Name,Ward Code,La Code
Shirley South,Croydon,E09000008,E05011483
New Addington South,Croydon,E05011471,E09000008
New Addington North,Croydon,E05011470,E09000008
Addiscombe West,Croydon,E05011463,E09000008
Fairfield,Croydon,E05011468,E09000008
Broad Green,Croydon,E05011465,E09000008
Waddon,Croydon,E05011487,E09000008
South Croydon,Croydon,E05011484,E09000008
Selhurst,Croydon,E05011479,E09000008
Bensham Manor,Croydon,E05011464,E09000008
West Thornton,Croydon,E05011488,E09000008
Selsdon & Addington Village,Croydon,E05011480,E09000008
Park Hill & Whitgift,Croydon,E05011475,E09000008
Shirley North,Croydon,E05011482,E09000008
Addiscombe East,Croydon,E05011462,E09000008
Woodside,Croydon,E05011489,E09000008
Selsdon Vale & Forestdale,Croydon,E05011481,E09000008
Sanderstead,Croydon,E05011478,E09000008
Purley Oaks & Riddlesdown,Croydon,E05011477,E09000008
Purley & Woodcote,Croydon,E05011476,E09000008
Kenley,Croydon,E05011469,E09000008
Old Coulsdon,Croydon,E05011474,E09000008
Coulsdon Town,Croydon,E05011466,E09000008
Norbury & Pollards Hill,Croydon,E05011472,E09000008
Thornton Heath,Croydon,E05011486,E09000008
Norbury Park,Croydon,E05011473,E09000008
South Norwood,Croydon,E05011485,E09000008
Crystal Palace & Upper Norwood,Croydon,E05011467,E09000008
