Ward Name,La Name,Ward Code,La Code
Watling,Dacorum,E07000096,E05004714
Hemel Hempstead Town,Dacorum,E05004705,E07000096
Boxmoor,Dacorum,E05004701,E07000096
Gadebridge,Dacorum,E05004703,E07000096
Adeyfield East,Dacorum,E05004691,E07000096
Chaulden and Warners End,Dacorum,E05004702,E07000096
Berkhamsted East,Dacorum,E05004698,E07000096
"Bovingdon, Flaunden and Chipperfield",Dacorum,E05004700,E07000096
Grovehill,Dacorum,E05004704,E07000096
Ashridge,Dacorum,E05004695,E07000096
Apsley and Corner Hall,Dacorum,E05004694,E07000096
Adeyfield West,Dacorum,E05004692,E07000096
Leverstock Green,Dacorum,E05004708,E07000096
Highfield,Dacorum,E05004706,E07000096
Woodhall Farm,Dacorum,E05004715,E07000096
Tring West and Rural,Dacorum,E05004713,E07000096
Tring Central,Dacorum,E05004711,E07000096
Tring East,Dacorum,E05004712,E07000096
Northchurch,Dacorum,E05004710,E07000096
Aldbury and Wigginton,Dacorum,E05004693,E07000096
Kings Langley,Dacorum,E05004707,E07000096
Nash Mills,Dacorum,E05004709,E07000096
Bennetts End,Dacorum,E05004696,E07000096
Berkhamsted Castle,Dacorum,E05004697,E07000096
Berkhamsted West,Dacorum,E05004699,E07000096
