Ward Name,La Name,Ward Code,La Code
Park East,Darlington,E06000005,E05010425
Bank Top & Lascelles,Darlington,E05010412,E06000005
Red Hall & Lingfield,Darlington,E05010428,E06000005
Stephenson,Darlington,E05010430,E06000005
Eastbourne,Darlington,E05010416,E06000005
Northgate,Darlington,E05010424,E06000005
North Road,Darlington,E05010423,E06000005
College,Darlington,E05010415,E06000005
Haughton & Springfield,Darlington,E05010418,E06000005
Heighington & Coniscliffe,Darlington,E05010419,E06000005
Harrowgate Hill,Darlington,E05010417,E06000005
Sadberge & Middleton St George,Darlington,E05010429,E06000005
Whinfield,Darlington,E05010431,E06000005
Park West,Darlington,E05010426,E06000005
Hurworth,Darlington,E05010421,E06000005
Brinkburn & Faverdale,Darlington,E05010413,E06000005
Mowden,Darlington,E05010422,E06000005
Cockerton,Darlington,E05010414,E06000005
Pierremont,Darlington,E05010427,E06000005
Hummersknott,Darlington,E05010420,E06000005
