Ward Name,La Name,Ward Code,La Code
Sherborne Rural,Dorset,E06000059,E05012716
Yetminster,Dorset,E05012733,E06000059
Stalbridge & Marnhull,Dorset,E05012719,E06000059
South East Purbeck,Dorset,E05012718,E06000059
Lytchett Matravers & Upton,Dorset,E05012706,E06000059
Stour & Allen Vale,Dorset,E05012720,E06000059
Wareham,Dorset,E05012725,E06000059
Corfe Mullen,Dorset,E05012692,E06000059
Swanage,Dorset,E05012722,E06000059
West Purbeck,Dorset,E05012728,E06000059
Puddletown & Lower Winterborne,Dorset,E05012710,E06000059
Wimborne Minster,Dorset,E05012730,E06000059
Colehill & Wimborne Minster East,Dorset,E05012691,E06000059
Ferndown North,Dorset,E05012700,E06000059
Cranborne & Alderholt,Dorset,E05012693,E06000059
Cranborne Chase,Dorset,E05012694,E06000059
Verwood,Dorset,E05012724,E06000059
West Moors & Three Legged Cross,Dorset,E05012726,E06000059
Ferndown South,Dorset,E05012701,E06000059
West Parley,Dorset,E05012727,E06000059
St Leonards & St Ives,Dorset,E05012713,E06000059
Dorchester West,Dorset,E05012698,E06000059
Dorchester East,Dorset,E05012696,E06000059
Crossways,Dorset,E05012695,E06000059
Chalk Valleys,Dorset,E05012687,E06000059
Charminster St Mary's,Dorset,E05012688,E06000059
Dorchester Poundbury,Dorset,E05012697,E06000059
Sturminster Newton,Dorset,E05012721,E06000059
Beacon,Dorset,E05012682,E06000059
Blackmore Vale,Dorset,E05012684,E06000059
Winterborne North,Dorset,E05012732,E06000059
Hill Forts & Upper Tarrants,Dorset,E05012703,E06000059
Blandford,Dorset,E05012685,E06000059
Eggardon,Dorset,E05012699,E06000059
Winterborne & Broadmayne,Dorset,E05012731,E06000059
Chesil Bank,Dorset,E05012689,E06000059
Chickerell,Dorset,E05012690,E06000059
Upwey & Broadwey,Dorset,E05012723,E06000059
Melcombe Regis,Dorset,E05012708,E06000059
Radipole,Dorset,E05012711,E06000059
Littlemoor & Preston,Dorset,E05012704,E06000059
Westham,Dorset,E05012729,E06000059
Rodwell & Wyke,Dorset,E05012712,E06000059
Portland,Dorset,E05012709,E06000059
Bridport,Dorset,E05012686,E06000059
Marshwood Vale,Dorset,E05012707,E06000059
Lyme & Charmouth,Dorset,E05012705,E06000059
Beaminster,Dorset,E05012683,E06000059
Sherborne East,Dorset,E05012715,E06000059
Sherborne West,Dorset,E05012717,E06000059
Shaftesbury Town,Dorset,E05012714,E06000059
Gillingham,Dorset,E05012702,E06000059
