Ward Name,La Name,Ward Code,La Code
Sandwich,Dover,E07000108,E05012867
Eastry Rural,Dover,E05012859,E07000108
Little Stour & Ashstone,Dover,E05012861,E07000108
North Deal,Dover,E05012865,E07000108
"Guston, Kingsdown & St Margaret's-at-Cliffe",Dover,E05012860,E07000108
Walmer,Dover,E05012870,E07000108
Middle Deal,Dover,E05012863,E07000108
Mill Hill,Dover,E05012864,E07000108
"Aylesham, Eythorne & Shepherdswell",Dover,E05012856,E07000108
St Radigunds,Dover,E05012866,E07000108
Whitfield,Dover,E05012871,E07000108
Maxton & Elms Vale,Dover,E05012862,E07000108
Alkham & Capel-le-Ferne,Dover,E05012855,E07000108
Dover Downs & River,Dover,E05012858,E07000108
Town & Castle,Dover,E05012869,E07000108
Tower Hamlets,Dover,E05012868,E07000108
Buckland,Dover,E05012857,E07000108
