Ward Name,La Name,Ward Code,La Code
Halesowen South,Dudley,E08000027,E05001245
Halesowen North,Dudley,E05001244,E08000027
Hayley Green and Cradley South,Dudley,E05001246,E08000027
Belle Vale,Dudley,E05001237,E08000027
Cradley and Wollescote,Dudley,E05001242,E08000027
Quarry Bank and Dudley Wood,Dudley,E05001253,E08000027
"Netherton, Woodside and St Andrews",Dudley,E05001250,E08000027
St James's,Dudley,E05001254,E08000027
Castle and Priory,Dudley,E05001240,E08000027
St Thomas's,Dudley,E05001255,E08000027
Brockmoor and Pensnett,Dudley,E05001239,E08000027
Upper Gornal and Woodsetton,Dudley,E05001257,E08000027
Lye and Stourbridge North,Dudley,E05001249,E08000027
Brierley Hill,Dudley,E05001238,E08000027
Sedgley,Dudley,E05001256,E08000027
Gornal,Dudley,E05001243,E08000027
Coseley East,Dudley,E05001241,E08000027
Amblecote,Dudley,E05001236,E08000027
Wordsley,Dudley,E05001259,E08000027
Kingswinford North and Wall Heath,Dudley,E05001247,E08000027
Kingswinford South,Dudley,E05001248,E08000027
Wollaston and Stourbridge Town,Dudley,E05001258,E08000027
Norton,Dudley,E05001251,E08000027
Pedmore and Stourbridge East,Dudley,E05001252,E08000027
