Ward Name,La Name,Ward Code,La Code
Annandale East and Eskdale,Dumfries and Galloway,S12000006,S13002891
Nith,Dumfries and Galloway,S13002888,S12000006
Lochar,Dumfries and Galloway,S13002887,S12000006
North West Dumfries,Dumfries and Galloway,S13002885,S12000006
Annandale North,Dumfries and Galloway,S13002890,S12000006
Annandale South,Dumfries and Galloway,S13002889,S12000006
Mid and Upper Nithsdale,Dumfries and Galloway,S13002886,S12000006
Abbey,Dumfries and Galloway,S13002884,S12000006
Castle Douglas and Crocketford,Dumfries and Galloway,S13002883,S12000006
Dee and Glenkens,Dumfries and Galloway,S13002882,S12000006
Mid Galloway and Wigtown West,Dumfries and Galloway,S13002881,S12000006
Stranraer and the Rhins,Dumfries and Galloway,S13002880,S12000006
