Ward Name,La Name,Ward Code,La Code
North Greenford,Ealing,E09000009,E05000183
Perivale,Ealing,E05000187,E09000009
Hanger Hill,Ealing,E05000179,E09000009
East Acton,Ealing,E05000175,E09000009
Northfield,Ealing,E05000182,E09000009
Southall Broadway,Ealing,E05000189,E09000009
Dormers Wells,Ealing,E05000172,E09000009
Lady Margaret,Ealing,E05000181,E09000009
Greenford Broadway,Ealing,E05000177,E09000009
Norwood Green,Ealing,E05000186,E09000009
Southall Green,Ealing,E05000190,E09000009
Elthorne,Ealing,E05000176,E09000009
Northolt Mandeville,Ealing,E05000184,E09000009
Greenford Green,Ealing,E05000178,E09000009
Northolt West End,Ealing,E05000185,E09000009
Cleveland,Ealing,E05000171,E09000009
Walpole,Ealing,E05000192,E09000009
Ealing Broadway,Ealing,E05000173,E09000009
South Acton,Ealing,E05000188,E09000009
Acton Central,Ealing,E05000170,E09000009
Southfield,Ealing,E05000191,E09000009
Ealing Common,Ealing,E05000174,E09000009
Hobbayne,Ealing,E05000180,E09000009
