Ward Name,La Name,Ward Code,La Code
Trinity,East Devon,E07000040,E05011807
Broadclyst,East Devon,E05011784,E07000040
Ottery St Mary,East Devon,E05011801,E07000040
Newton Poppleford & Harpford,East Devon,E05011800,E07000040
Sidmouth Town,East Devon,E05011805,E07000040
Sidmouth Rural,East Devon,E05011803,E07000040
Budleigh & Raleigh,East Devon,E05011785,E07000040
Sidmouth Sidford,East Devon,E05011804,E07000040
Beer & Branscombe,East Devon,E05011783,E07000040
West Hill & Aylesbeare,East Devon,E05011808,E07000040
Whimple & Rockbeare,East Devon,E05011809,E07000040
Tale Vale,East Devon,E05011806,E07000040
Seaton,East Devon,E05011802,E07000040
Coly Valley,East Devon,E05011787,E07000040
Newbridges,East Devon,E05011799,E07000040
Axminster,East Devon,E05011782,E07000040
Yarty,East Devon,E05011811,E07000040
Dunkeswell & Otterhead,East Devon,E05011789,E07000040
Honiton St Paul's,East Devon,E05011798,E07000040
Feniton,East Devon,E05011796,E07000040
Honiton St Michael's,East Devon,E05011797,E07000040
Clyst Valley,East Devon,E05011786,E07000040
Woodbury & Lympstone,East Devon,E05011810,E07000040
Exe Valley,East Devon,E05011790,E07000040
Cranbrook,East Devon,E05011788,E07000040
Exmouth Town,East Devon,E05011794,E07000040
Exmouth Littleham,East Devon,E05011793,E07000040
Exmouth Halsdon,East Devon,E05011792,E07000040
Exmouth Withycombe Raleigh,East Devon,E05011795,E07000040
Exmouth Brixington,East Devon,E05011791,E07000040
