Ward Name,La Name,Ward Code,La Code
Holton-le-Clay & North Thoresby,East Lindsey,E07000137,E05009884
Marshchapel & Somercotes,East Lindsey,E05009889,E07000137
Tetney,East Lindsey,E05009902,E07000137
Fulstow,East Lindsey,E05009880,E07000137
Roughton,East Lindsey,E05009892,E07000137
Woodhall Spa,East Lindsey,E05009908,E07000137
North Holme,East Lindsey,E05009890,E07000137
St Margaret's,East Lindsey,E05009894,E07000137
Priory & St James',East Lindsey,E05009891,E07000137
Trinity,East Lindsey,E05009903,E07000137
St Mary's,East Lindsey,E05009895,E07000137
Binbrook,East Lindsey,E05009874,E07000137
Grimoldby,East Lindsey,E05009881,E07000137
Withern & Theddlethorpe,East Lindsey,E05009907,E07000137
St Michael's,East Lindsey,E05009896,E07000137
Legbourne,East Lindsey,E05009887,E07000137
Hagworthingham,East Lindsey,E05009882,E07000137
Tetford & Donington,East Lindsey,E05009901,E07000137
Mablethorpe,East Lindsey,E05009888,E07000137
Sutton on Sea,East Lindsey,E05009900,E07000137
Alford,East Lindsey,E05009873,E07000137
Willoughby with Sloothby,East Lindsey,E05009905,E07000137
Chapel St Leonards,East Lindsey,E05009876,E07000137
Wragby,East Lindsey,E05009909,E07000137
Horncastle,East Lindsey,E05009885,E07000137
Coningsby & Mareham,East Lindsey,E05009877,E07000137
Sibsey & Stickney,East Lindsey,E05009898,E07000137
Halton Holegate,East Lindsey,E05009883,E07000137
Friskney,East Lindsey,E05009879,E07000137
Spilsby,East Lindsey,E05009899,E07000137
Croft,East Lindsey,E05009878,E07000137
Wainfleet,East Lindsey,E05009904,E07000137
Scarbrough & Seacroft,East Lindsey,E05009897,E07000137
Ingoldmells,East Lindsey,E05009886,E07000137
Burgh le Marsh,East Lindsey,E05009875,E07000137
Winthorpe,East Lindsey,E05009906,E07000137
St Clement's,East Lindsey,E05009893,E07000137
