Ward Name,La Name,Ward Code,La Code
Eastleigh South,Eastleigh,E07000086,E05011193
West End South,Eastleigh,E05011200,E07000086
West End North,Eastleigh,E05011199,E07000086
Hedge End North,Eastleigh,E05011196,E07000086
Bursledon & Hound North,Eastleigh,E05011189,E07000086
Hedge End South,Eastleigh,E05011197,E07000086
Eastleigh North,Eastleigh,E05011192,E07000086
Fair Oak & Horton Heath,Eastleigh,E05011194,E07000086
Botley,Eastleigh,E05011188,E07000086
Hamble & Netley,Eastleigh,E05011195,E07000086
Hiltingbury,Eastleigh,E05011198,E07000086
Chandler's Ford,Eastleigh,E05011190,E07000086
Eastleigh Central,Eastleigh,E05011191,E07000086
Bishopstoke,Eastleigh,E05011187,E07000086
