Ward Name,La Name,Ward Code,La Code
Lazonby,Eden,E07000030,E05003220
Langwathby,Eden,E05003219,E07000030
Hartside,Eden,E05003214,E07000030
Long Marton,Eden,E05003221,E07000030
Kirkoswald,Eden,E05003218,E07000030
Penrith South,Eden,E05003228,E07000030
Kirkby Thore,Eden,E05003217,E07000030
Penrith Carleton,Eden,E05003224,E07000030
Penrith Pategill,Eden,E05003227,E07000030
Eamont,Eden,E05003212,E07000030
Shap,Eden,E05003231,E07000030
Askham,Eden,E05003208,E07000030
Morland,Eden,E05003222,E07000030
Crosby Ravensworth,Eden,E05003210,E07000030
Orton with Tebay,Eden,E05003223,E07000030
Penrith West,Eden,E05003229,E07000030
Hesket,Eden,E05003215,E07000030
Ullswater,Eden,E05003233,E07000030
Skelton,Eden,E05003232,E07000030
Dacre,Eden,E05003211,E07000030
Greystoke,Eden,E05003213,E07000030
Penrith North,Eden,E05003226,E07000030
Penrith East,Eden,E05003225,E07000030
Appleby (Bongate),Eden,E05003207,E07000030
Appleby (Appleby),Eden,E05003206,E07000030
Warcop,Eden,E05003234,E07000030
Brough,Eden,E05003209,E07000030
Ravenstonedale,Eden,E05003230,E07000030
Kirkby Stephen,Eden,E05003216,E07000030
Alston Moor,Eden,E05003205,E07000030
