Ward Name,La Name,Ward Code,La Code
Hinchley Wood and Weston Green,Elmbridge,E07000207,E05011078
Claygate,Elmbridge,E05011074,E07000207
Esher,Elmbridge,E05011076,E07000207
Molesey West,Elmbridge,E05011081,E07000207
Oxshott and Stoke D'Abernon,Elmbridge,E05011083,E07000207
Cobham and Downside,Elmbridge,E05011075,E07000207
Weybridge St George's Hill,Elmbridge,E05011089,E07000207
Walton Central,Elmbridge,E05011085,E07000207
Walton South,Elmbridge,E05011087,E07000207
Oatlands and Burwood Park,Elmbridge,E05011082,E07000207
Weybridge Riverside,Elmbridge,E05011088,E07000207
Walton North,Elmbridge,E05011086,E07000207
Hersham Village,Elmbridge,E05011077,E07000207
Long Ditton,Elmbridge,E05011079,E07000207
Thames Ditton,Elmbridge,E05011084,E07000207
Molesey East,Elmbridge,E05011080,E07000207
