Ward Name,La Name,Ward Code,La Code
"High Ongar, Willingale and The Rodings",Epping Forest,E07000072,E05004157
Epping Hemnall,Epping Forest,E05004153,E07000072
Epping Lindsey and Thornwood Common,Epping Forest,E05004154,E07000072
"Broadley Common, Epping Upland and Nazeing",Epping Forest,E05004147,E07000072
Theydon Bois,Epping Forest,E05004173,E07000072
Waltham Abbey High Beach,Epping Forest,E05004174,E07000072
North Weald Bassett,Epping Forest,E05004169,E07000072
Passingford,Epping Forest,E05004170,E07000072
Moreton and Fyfield,Epping Forest,E05008941,E07000072
"Hastingwood, Matching and Sheering Village",Epping Forest,E05008940,E07000072
Lower Sheering,Epping Forest,E05004167,E07000072
Roydon,Epping Forest,E05004171,E07000072
Lower Nazeing,Epping Forest,E05004166,E07000072
"Chipping Ongar, Greensted and Marden Ash",Epping Forest,E05004152,E07000072
Shelley,Epping Forest,E05004172,E07000072
Waltham Abbey North East,Epping Forest,E05004176,E07000072
Waltham Abbey South West,Epping Forest,E05004178,E07000072
Waltham Abbey Honey Lane,Epping Forest,E05004175,E07000072
Waltham Abbey Paternoster,Epping Forest,E05004177,E07000072
Loughton St Mary's,Epping Forest,E05004165,E07000072
Loughton Broadway,Epping Forest,E05004160,E07000072
Loughton Forest,Epping Forest,E05004162,E07000072
Loughton St John's,Epping Forest,E05004164,E07000072
Loughton Fairmead,Epping Forest,E05004161,E07000072
Loughton Roding,Epping Forest,E05004163,E07000072
Loughton Alderton,Epping Forest,E05004159,E07000072
Buckhurst Hill West,Epping Forest,E05004149,E07000072
Chigwell Village,Epping Forest,E05004151,E07000072
Grange Hill,Epping Forest,E05004155,E07000072
Chigwell Row,Epping Forest,E05004150,E07000072
Lambourne,Epping Forest,E05004158,E07000072
Buckhurst Hill East,Epping Forest,E05004148,E07000072
