Ward Name,La Name,Ward Code,La Code
Town,Epsom and Ewell,E07000208,E05007283
Nonsuch,Epsom and Ewell,E05007279,E07000208
Ewell,Epsom and Ewell,E05007277,E07000208
West Ewell,Epsom and Ewell,E05007284,E07000208
Stoneleigh,Epsom and Ewell,E05007282,E07000208
College,Epsom and Ewell,E05007274,E07000208
Woodcote,Epsom and Ewell,E05007285,E07000208
Stamford,Epsom and Ewell,E05007281,E07000208
Ewell Court,Epsom and Ewell,E05007278,E07000208
Cuddington,Epsom and Ewell,E05007276,E07000208
Auriol,Epsom and Ewell,E05007273,E07000208
Court,Epsom and Ewell,E05007275,E07000208
Ruxley,Epsom and Ewell,E05007280,E07000208
