Ward Name,La Name,Ward Code,La Code
St David's,Exeter,E07000041,E05011020
Newtown and St Leonard's,Exeter,E05011016,E07000041
St Loyes,Exeter,E05011021,E07000041
Heavitree,Exeter,E05011014,E07000041
Pennsylvania,Exeter,E05011017,E07000041
Duryard and St James,Exeter,E05011012,E07000041
Pinhoe,Exeter,E05011018,E07000041
Mincinglake and Whipton,Exeter,E05011015,E07000041
Priory,Exeter,E05011019,E07000041
Topsham,Exeter,E05011023,E07000041
Alphington,Exeter,E05011011,E07000041
St Thomas,Exeter,E05011022,E07000041
Exwick,Exeter,E05011013,E07000041
