Ward Name,La Name,Ward Code,La Code
Stubbington,Fareham,E07000087,E05004527
Hill Head,Fareham,E05004521,E07000087
Fareham North,Fareham,E05004517,E07000087
Fareham South,Fareham,E05004519,E07000087
Fareham West,Fareham,E05004520,E07000087
Titchfield,Fareham,E05004528,E07000087
Titchfield Common,Fareham,E05004529,E07000087
Warsash,Fareham,E05004530,E07000087
Fareham East,Fareham,E05004516,E07000087
Park Gate,Fareham,E05004523,E07000087
Fareham North-West,Fareham,E05004518,E07000087
Sarisbury,Fareham,E05004526,E07000087
Portchester West,Fareham,E05004525,E07000087
Portchester East,Fareham,E05004524,E07000087
Locks Heath,Fareham,E05004522,E07000087
