Ward Name,La Name,Ward Code,La Code
Manea,Fenland,E07000010,E05009499
Parson Drove & Wisbech St Mary,Fenland,E05009505,E07000010
Medworth,Fenland,E05009503,E07000010
Peckover,Fenland,E05009506,E07000010
Roman Bank,Fenland,E05009507,E07000010
Clarkson,Fenland,E05009494,E07000010
Octavia Hill,Fenland,E05009504,E07000010
Kirkgate,Fenland,E05009497,E07000010
Staithe,Fenland,E05009510,E07000010
Waterlees Village,Fenland,E05009513,E07000010
Elm & Christchurch,Fenland,E05009496,E07000010
March North,Fenland,E05009501,E07000010
March East,Fenland,E05009500,E07000010
March West,Fenland,E05009502,E07000010
Doddington & Wimblington,Fenland,E05009495,E07000010
"Benwick, Coates & Eastrea",Fenland,E05009492,E07000010
Wenneye,Fenland,E05009514,E07000010
The Mills,Fenland,E05009512,E07000010
Birch,Fenland,E05009493,E07000010
Slade Lode,Fenland,E05009509,E07000010
St Andrews,Fenland,E05009508,E07000010
Bassenhally,Fenland,E05009491,E07000010
Lattersey,Fenland,E05009498,E07000010
Stonald,Fenland,E05009511,E07000010
