Ward Name,La Name,Ward Code,La Code
Sealand,Flintshire,W06000005,W05000230
Penyffordd,Flintshire,W05001010,W06000005
Broughton North East,Flintshire,W05001004,W06000005
Saltney Mold Junction,Flintshire,W05000228,W06000005
Broughton South,Flintshire,W05001036,W06000005
Saltney Stonebridge,Flintshire,W05000229,W06000005
Higher Kinnerton,Flintshire,W05001006,W06000005
Hope,Flintshire,W05001007,W06000005
Shotton East,Flintshire,W05000231,W06000005
Shotton Higher,Flintshire,W05000232,W06000005
Aston,Flintshire,W05000181,W06000005
Queensferry,Flintshire,W05000227,W06000005
Shotton West,Flintshire,W05000233,W06000005
Mancot,Flintshire,W05000217,W06000005
Connah's Quay Wepre,Flintshire,W05000197,W06000005
Connah's Quay Central,Flintshire,W05000194,W06000005
Ewloe,Flintshire,W05000198,W06000005
Buckley Mountain,Flintshire,W05000189,W06000005
Hawarden,Flintshire,W05000209,W06000005
Connah's Quay Golftyn,Flintshire,W05000195,W06000005
Connah's Quay South,Flintshire,W05000196,W06000005
Flint Coleshill,Flintshire,W05000201,W06000005
Flint Castle,Flintshire,W05000200,W06000005
Flint Oakenholt,Flintshire,W05000202,W06000005
Flint Trelawny,Flintshire,W05000203,W06000005
Halkyn,Flintshire,W05001005,W06000005
Brynford,Flintshire,W05000186,W06000005
Bagillt East,Flintshire,W05000182,W06000005
Bagillt West,Flintshire,W05000183,W06000005
Holywell East,Flintshire,W05000212,W06000005
Mold Broncoed,Flintshire,W05000218,W06000005
Mold West,Flintshire,W05000221,W06000005
Mold East,Flintshire,W05001009,W06000005
Mold South,Flintshire,W05000220,W06000005
Buckley Bistre East,Flintshire,W05000187,W06000005
Buckley Bistre West,Flintshire,W05000188,W06000005
Buckley Pentrobin,Flintshire,W05000190,W06000005
Gwernymynydd,Flintshire,W05000207,W06000005
Leeswood,Flintshire,W05001008,W06000005
Treuddyn,Flintshire,W05000235,W06000005
Argoed,Flintshire,W05000180,W06000005
Llanfynydd,Flintshire,W05000216,W06000005
Caerwys,Flintshire,W05000192,W06000005
Gwernaffield,Flintshire,W05000206,W06000005
Cilcain,Flintshire,W05000193,W06000005
Northop,Flintshire,W05000224,W06000005
Northop Hall,Flintshire,W05000225,W06000005
New Brighton,Flintshire,W05000223,W06000005
Holywell Central,Flintshire,W05000211,W06000005
Holywell West,Flintshire,W05000213,W06000005
Whitford,Flintshire,W05000236,W06000005
Greenfield,Flintshire,W05000204,W06000005
Ffynnongroyw,Flintshire,W05000199,W06000005
Mostyn,Flintshire,W05000222,W06000005
Trelawnyd and Gwaenysgor,Flintshire,W05000234,W06000005
Gronant,Flintshire,W05000205,W06000005
Caergwrle,Flintshire,W05000191,W06000005
