Ward Name,La Name,Ward Code,La Code
North Downs East,Folkestone and Hythe,E07000112,E05010023
East Folkestone,Folkestone and Hythe,E05010017,E07000112
Cheriton,Folkestone and Hythe,E05010016,E07000112
Folkestone Central,Folkestone and Hythe,E05010018,E07000112
Folkestone Harbour,Folkestone and Hythe,E05010019,E07000112
North Downs West,Folkestone and Hythe,E05010024,E07000112
Hythe,Folkestone and Hythe,E05010020,E07000112
Broadmead,Folkestone and Hythe,E05010015,E07000112
Hythe Rural,Folkestone and Hythe,E05010021,E07000112
Sandgate & West Folkestone,Folkestone and Hythe,E05010026,E07000112
Romney Marsh,Folkestone and Hythe,E05010025,E07000112
Walland & Denge Marsh,Folkestone and Hythe,E05010027,E07000112
New Romney,Folkestone and Hythe,E05010022,E07000112
