Ward Name,La Name,Ward Code,La Code
Town,Gosport,E07000088,E05004547
Christchurch,Gosport,E05004536,E07000088
Forton,Gosport,E05004538,E07000088
Leesland,Gosport,E05004543,E07000088
Anglesey,Gosport,E05004532,E07000088
Alverstoke,Gosport,E05004531,E07000088
Privett,Gosport,E05004545,E07000088
Brockhurst,Gosport,E05004535,E07000088
Elson,Gosport,E05004537,E07000088
Hardway,Gosport,E05004540,E07000088
Bridgemary South,Gosport,E05004534,E07000088
Bridgemary North,Gosport,E05004533,E07000088
Rowner and Holbrook,Gosport,E05004546,E07000088
Peel Common,Gosport,E05004544,E07000088
Grange,Gosport,E05004539,E07000088
Lee East,Gosport,E05004541,E07000088
Lee West,Gosport,E05004542,E07000088
