Ward Name,La Name,Ward Code,La Code
Llandderfel,Gwynedd,W06000002,W05000079
Bala,Gwynedd,W05000047,W06000002
Llanuwchllyn,Gwynedd,W05000084,W06000002
Arllechwedd,Gwynedd,W05000046,W06000002
Hendre,Gwynedd,W05000073,W06000002
Aberdovey,Gwynedd,W05000042,W06000002
Tywyn,Gwynedd,W05000109,W06000002
Bryn-crug/Llanfihangel,Gwynedd,W05000053,W06000002
Llangelynin,Gwynedd,W05000081,W06000002
Dolgellau South,Gwynedd,W05000065,W06000002
Dolgellau North,Gwynedd,W05000064,W06000002
Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,Gwynedd,W05000052,W06000002
Trawsfynydd,Gwynedd,W05000106,W06000002
Abermaw,Gwynedd,W05000044,W06000002
Diffwys and Maenofferen,Gwynedd,W05000062,W06000002
Bowydd and Rhiw,Gwynedd,W05000051,W06000002
Teigl,Gwynedd,W05000105,W06000002
Harlech,Gwynedd,W05000072,W06000002
Dyffryn Ardudwy,Gwynedd,W05000066,W06000002
Llanbedr,Gwynedd,W05000076,W06000002
Porthmadog West,Gwynedd,W05000099,W06000002
Penrhyndeudraeth,Gwynedd,W05000095,W06000002
Porthmadog-Tremadog,Gwynedd,W05000100,W06000002
Porthmadog East,Gwynedd,W05000098,W06000002
Dolbenmaen,Gwynedd,W05000063,W06000002
Clynnog,Gwynedd,W05000055,W06000002
Llanystumdwy,Gwynedd,W05000086,W06000002
Criccieth,Gwynedd,W05000057,W06000002
Pwllheli South,Gwynedd,W05000102,W06000002
Pwllheli North,Gwynedd,W05000101,W06000002
Llanbedrog,Gwynedd,W05000077,W06000002
Efail-newydd/Buan,Gwynedd,W05000067,W06000002
Abererch,Gwynedd,W05000043,W06000002
Morfa Nefyn,Gwynedd,W05000090,W06000002
Nefyn,Gwynedd,W05000091,W06000002
Llanaelhaearn,Gwynedd,W05000075,W06000002
Abersoch,Gwynedd,W05000045,W06000002
Llanengan,Gwynedd,W05000080,W06000002
Botwnnog,Gwynedd,W05000050,W06000002
Aberdaron,Gwynedd,W05000041,W06000002
Tudweiliog,Gwynedd,W05000108,W06000002
Groeslon,Gwynedd,W05000071,W06000002
Bontnewydd,Gwynedd,W05000049,W06000002
Llanwnda,Gwynedd,W05000085,W06000002
Seiont,Gwynedd,W05000103,W06000002
Peblig (Caernarfon),Gwynedd,W05000093,W06000002
Penygroes,Gwynedd,W05000097,W06000002
Talysarn,Gwynedd,W05000104,W06000002
Llanllyfni,Gwynedd,W05000082,W06000002
Waunfawr,Gwynedd,W05000110,W06000002
Menai (Caernarfon),Gwynedd,W05000089,W06000002
Cadnant,Gwynedd,W05000054,W06000002
Bethel,Gwynedd,W05000048,W06000002
Y Felinheli,Gwynedd,W05000111,W06000002
Cwm-y-Glo,Gwynedd,W05000058,W06000002
Llanrug,Gwynedd,W05000083,W06000002
Penisarwaun,Gwynedd,W05000094,W06000002
Deiniolen,Gwynedd,W05000060,W06000002
Llanberis,Gwynedd,W05000078,W06000002
Pentir,Gwynedd,W05000096,W06000002
Deiniol,Gwynedd,W05000059,W06000002
Hirael,Gwynedd,W05000074,W06000002
Garth,Gwynedd,W05000068,W06000002
Marchog,Gwynedd,W05000087,W06000002
Menai (Bangor),Gwynedd,W05000088,W06000002
Dewi,Gwynedd,W05000061,W06000002
Glyder,Gwynedd,W05000070,W06000002
Ogwen,Gwynedd,W05000092,W06000002
Tregarth & Mynydd Llandygai,Gwynedd,W05000107,W06000002
Gerlan,Gwynedd,W05000069,W06000002
Corris/Mawddwy,Gwynedd,W05000056,W06000002
