Ward Name,La Name,Ward Code,La Code
Morton-on-Swale,Hambleton,E07000164,E05009679
Appleton Wiske & Smeatons,Hambleton,E05009672,E07000164
Northallerton South,Hambleton,E05009681,E07000164
Romanby,Hambleton,E05009684,E07000164
Northallerton North & Brompton,Hambleton,E05009680,E07000164
Osmotherley & Swainby,Hambleton,E05009682,E07000164
Hutton Rudby,Hambleton,E05009678,E07000164
Bagby & Thorntons,Hambleton,E05009673,E07000164
Bedale,Hambleton,E05009674,E07000164
Tanfield,Hambleton,E05009687,E07000164
Great Ayton,Hambleton,E05009676,E07000164
Stokesley,Hambleton,E05009686,E07000164
Huby,Hambleton,E05009677,E07000164
Easingwold,Hambleton,E05009675,E07000164
Raskelf & White Horse,Hambleton,E05009683,E07000164
Sowerby & Topcliffe,Hambleton,E05009685,E07000164
Thirsk,Hambleton,E05009688,E07000164
