Ward Name,La Name,Ward Code,La Code
College Park and Old Oak,Hammersmith and Fulham,E09000013,E05000253
Sands End,Hammersmith and Fulham,E05000262,E09000013
Parsons Green and Walham,Hammersmith and Fulham,E05000260,E09000013
Hammersmith Broadway,Hammersmith and Fulham,E05000256,E09000013
Town,Hammersmith and Fulham,E05000264,E09000013
Fulham Broadway,Hammersmith and Fulham,E05000254,E09000013
North End,Hammersmith and Fulham,E05000258,E09000013
Palace Riverside,Hammersmith and Fulham,E05000259,E09000013
Munster,Hammersmith and Fulham,E05000257,E09000013
Fulham Reach,Hammersmith and Fulham,E05000255,E09000013
Shepherd's Bush Green,Hammersmith and Fulham,E05000263,E09000013
Wormholt and White City,Hammersmith and Fulham,E05000265,E09000013
Askew,Hammersmith and Fulham,E05000251,E09000013
Ravenscourt Park,Hammersmith and Fulham,E05000261,E09000013
Addison,Hammersmith and Fulham,E05000250,E09000013
Avonmore and Brook Green,Hammersmith and Fulham,E05000252,E09000013
