Ward Name,La Name,Ward Code,La Code
Billesdon & Tilton,Harborough,E07000131,E05011964
Nevill,Harborough,E05011980,E07000131
Market Harborough-Great Bowden & Arden,Harborough,E05011975,E07000131
Bosworth,Harborough,E05011965,E07000131
Market Harborough-Logan,Harborough,E05011977,E07000131
Lubenham,Harborough,E05011972,E07000131
Kibworths,Harborough,E05011971,E07000131
Market Harborough-Little Bowden,Harborough,E05011976,E07000131
Market Harborough-Welland,Harborough,E05011978,E07000131
Lutterworth East,Harborough,E05011973,E07000131
Ullesthorpe,Harborough,E05011982,E07000131
Lutterworth West,Harborough,E05011974,E07000131
Misterton,Harborough,E05011979,E07000131
Broughton Astley South & Leire,Harborough,E05011967,E07000131
Dunton,Harborough,E05011968,E07000131
Fleckney,Harborough,E05011969,E07000131
Thurnby & Houghton,Harborough,E05011981,E07000131
Glen,Harborough,E05011970,E07000131
Broughton Astley-Primethorpe & Sutton,Harborough,E05011966,E07000131
