Ward Name,La Name,Ward Code,La Code
Fortis Green,Haringey,E09000014,E05000270
Muswell Hill,Haringey,E05000274,E09000014
Alexandra,Haringey,E05000266,E09000014
Highgate,Haringey,E05000272,E09000014
Bounds Green,Haringey,E05000267,E09000014
White Hart Lane,Haringey,E05000283,E09000014
St Ann's,Haringey,E05000277,E09000014
West Green,Haringey,E05000282,E09000014
Seven Sisters,Haringey,E05000278,E09000014
Harringay,Haringey,E05000271,E09000014
Tottenham Green,Haringey,E05000280,E09000014
Bruce Grove,Haringey,E05000268,E09000014
Tottenham Hale,Haringey,E05000281,E09000014
Northumberland Park,Haringey,E05000276,E09000014
Woodside,Haringey,E05000284,E09000014
Noel Park,Haringey,E05000275,E09000014
Stroud Green,Haringey,E05000279,E09000014
Crouch End,Haringey,E05000269,E09000014
Hornsey,Haringey,E05000273,E09000014
